order,max_abs,mean_abs,median_abs,rms,q95_abs,is_zero_tol
0,1.0658141036401503e-13,9.035827641667993e-14,1.0166867348004871e-13,9.312452271862647e-14,1.060068699487715e-13,true
1,5.087041898832467e-13,3.7528313789891854e-13,3.7231329130804625e-13,3.8903320950396414e-13,4.977129819394577e-13,true
2,1.8527401834944612e-12,1.2461143228392757e-12,1.2008172234345693e-12,1.3234557354001088e-12,1.7969181698163082e-12,true
3,4.439559830871076e-12,3.0012659024691857e-12,3.0482283364108298e-12,3.2145732429708707e-12,4.330513725392393e-12,true
4,8.327560863108374e-12,6.377121053446899e-12,7.602807272633072e-12,6.871300945348207e-12,8.225242709158919e-12,true
5,1.3153567124390975e-10,7.849720873309707e-11,8.220979452744359e-11,9.190845128261505e-11,1.295916263188701e-10,false
6,1.1430074664531276e-09,4.0733993955655023e-10,2.270326149300672e-10,5.938655893610916e-10,1.006719685392454e-09,false
