experiment_name,regime,M,trial,k,raw_to_ref_l2,ref_to_ideal_l2,gap_ratio
exp6_two_bridge_gap_compare,uniform_h=1.00,20,15,8,1.806930975292206e-13,1.7468894465841909,1746889446584.191
exp6_two_bridge_gap_compare,uniform_h=1.00,20,15,10,1.777567440306511e-13,0.8144559680463043,814455968046.3043
exp6_two_bridge_gap_compare,uniform_h=1.00,20,15,12,2.6138164064918083e-13,0.387709337937405,387709337937.40497
exp6_two_bridge_gap_compare,uniform_h=1.00,20,16,2,4.2447942630895355e-16,9.792018085372282,9792018085372.283
exp6_two_bridge_gap_compare,uniform_h=1.00,20,16,4,2.3861260708577997e-14,4.799550072787023,4799550072787.022
exp6_two_bridge_gap_compare,uniform_h=1.00,20,16,6,9.82234245225021e-14,1.948123098421458,1948123098421.458
exp6_two_bridge_gap_compare,uniform_h=1.00,20,16,8,1.1449279398264454e-13,0.8156652252336587,815665225233.6587
exp6_two_bridge_gap_compare,uniform_h=1.00,20,16,10,1.3524205359052178e-13,0.3644379912659977,364437991265.9977
exp6_two_bridge_gap_compare,uniform_h=1.00,20,16,12,9.372501355583015e-14,0.18732929414395838,187329294143.95837
exp6_two_bridge_gap_compare,uniform_h=1.00,20,17,2,4.025513263523689e-14,15.759994774219022,15759994774219.021
exp6_two_bridge_gap_compare,uniform_h=1.00,20,17,4,1.2354484616715538e-13,6.655708016201334,6655708016201.334
exp6_two_bridge_gap_compare,uniform_h=1.00,20,17,6,3.447782703706392e-13,2.4945088318766957,2494508831876.696
exp6_two_bridge_gap_compare,uniform_h=1.00,20,17,8,1.0482766014094669e-13,1.0879655022201267,1087965502220.1267
exp6_two_bridge_gap_compare,uniform_h=1.00,20,17,10,3.0259621582701466e-13,0.5956201007166967,595620100716.6967
exp6_two_bridge_gap_compare,uniform_h=1.00,20,17,12,2.9171370061557287e-13,0.31717317006731394,317173170067.31396
exp6_two_bridge_gap_compare,uniform_h=1.00,20,18,2,1.4069537821441792e-15,10.300451263063215,10300451263063.215
exp6_two_bridge_gap_compare,uniform_h=1.00,20,18,4,1.0591465527558457e-14,3.4278326052686467,3427832605268.647
exp6_two_bridge_gap_compare,uniform_h=1.00,20,18,6,1.5103851264496013e-14,1.4350075159878544,1435007515987.8545
exp6_two_bridge_gap_compare,uniform_h=1.00,20,18,8,2.4795847441433476e-14,0.6785509910130499,678550991013.0499
exp6_two_bridge_gap_compare,uniform_h=1.00,20,18,10,3.491453475300796e-14,0.36713920868500016,367139208685.0002
exp6_two_bridge_gap_compare,uniform_h=1.00,20,18,12,3.417054594910513e-14,0.20630573715973607,206305737159.73608
exp6_two_bridge_gap_compare,uniform_h=1.00,20,19,2,1.9278133785125722e-15,11.322565788326296,11322565788326.297
exp6_two_bridge_gap_compare,uniform_h=1.00,20,19,4,1.523809879442089e-14,4.956259975282756,4956259975282.756
exp6_two_bridge_gap_compare,uniform_h=1.00,20,19,6,6.41113032256257e-14,2.008426023660921,2008426023660.921
exp6_two_bridge_gap_compare,uniform_h=1.00,20,19,8,5.1498942159757803e-14,0.8257214980850992,825721498085.0992
exp6_two_bridge_gap_compare,uniform_h=1.00,20,19,10,8.592203542130452e-14,0.35729113262992823,357291132629.9282
exp6_two_bridge_gap_compare,uniform_h=1.00,20,19,12,8.998300542279257e-14,0.18454431558278217,184544315582.78217
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,0,2,1.8038322268139994e-14,14.213976007280335,14213976007280.336
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,0,4,1.350109644745199e-14,4.127167174947132,4127167174947.1323
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,0,6,1.5629601923589056e-14,1.580671501452518,1580671501452.5178
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,0,8,3.473236430288624e-14,0.7591057305556315,759105730555.6315
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,0,10,4.8143565122787594e-14,0.3865427988375214,386542798837.5214
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,0,12,5.0643949242266165e-14,0.21730634849479172,217306348494.79172
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,1,2,1.3318613918995263e-14,7.2050040017951025,7205004001795.103
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,1,4,2.201794768387645e-14,3.9202837092018656,3920283709201.8657
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,1,6,3.621975267359084e-14,2.261732606840097,2261732606840.097
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,1,8,4.427516691293807e-14,1.2935602486845847,1293560248684.5847
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,1,10,4.479784148082746e-14,0.767814571975724,767814571975.724
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,1,12,5.87043065072843e-14,0.4406042754366065,440604275436.6065
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,2,2,1.5136408147827386e-14,9.437526946653662,9437526946653.662
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,2,4,2.7769200125198966e-14,5.298342281297808,5298342281297.809
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,2,6,3.5291203346370154e-14,2.9684382169282975,2968438216928.2974
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,2,8,7.470410019839435e-14,1.4733589684336967,1473358968433.6968
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,2,10,6.473454567250958e-14,0.7166620924093198,716662092409.3198
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,2,12,5.138698958913391e-14,0.29517176060734307,295171760607.3431
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,3,2,5.1145142999757124e-14,5.850414695902539,5850414695902.539
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,3,4,4.047547190938104e-14,2.9715712856418888,2971571285641.8887
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,3,6,1.3306677739188474e-13,1.4548354681786486,1454835468178.6487
