M,i,k,window_type,max_interp_error,max_Cs_minus_1_jump,max_C2s_minus_2_jump,max_boundary_jet_error,max_natural_bc_residual,solver_status
5,1,2,left,6.6058269965196814e-15,7.105427357601002e-15,1.7465140444983263e-11,2.842170943040401e-14,5.0732751333271153e-11,ok
5,3,2,interior,4.85722573273506e-16,4.85722573273506e-16,4.85722573273506e-16,0.0,0.0,ok
5,5,2,right,3.6637359812630166e-15,3.552713678800501e-15,2.4570567802584264e-11,6.217248937900877e-15,2.6545247599153835e-12,ok
6,1,2,left,2.220446049250313e-16,5.329070518200751e-15,1.6015633264032658e-11,6.685006627903374e-15,2.0051516003150027e-11,ok
6,3,2,interior,3.3306690738754696e-16,5.551115123125783e-16,5.551115123125783e-16,0.0,0.0,ok
6,6,2,right,1.7014167852380524e-14,1.7014167852380524e-14,5.005631464882754e-10,4.440892098500626e-16,8.982792732165801e-11,ok
