M,i,k,num_restarts,max_pairwise_coeff_diff,objective_std,reduced_hessian_min_eig,reduced_hessian_cond,kkt_residual
5,1,2,6,2.076328291207854e-12,8.12788010264417e-12,5.4341103532628745,9198.693746872246,1.4856193823506997e-11
5,3,2,6,4.609052754863275e-12,9.988979692872001e-24,5.426112236089494,32471.877144141665,5.594315114139762e-16
5,5,2,6,1.722541524051364e-14,6.261382790496671e-13,5.036610016405353,185.8892626280144,1.2747307805038968e-10
6,1,2,6,2.1959557935276977e-12,6.795503335081055e-13,13.811664452692265,12918.491306419111,1.2151123213680684e-11
6,3,2,6,2.459240219180731e-12,2.2465393447819483e-24,5.6199998304608485,9811.026468809963,8.049116928532385e-16
6,6,2,6,1.051010673900849e-13,4.5776896120943695e-12,3.517842670408534,214.3540683773895,3.63406676868433e-10
