regime,M,trial,k,segment_i,delta_scale,delta_response_l2,amplification_ratio
uniform_h=1.00,20,2,12,10,0.0001,6.142487301729034e-15,6.142487301729033e-11
uniform_h=1.00,20,2,12,10,0.001,6.142487301729034e-15,6.142487301729033e-12
uniform_h=1.00,20,3,2,10,1e-06,2.7755575615628914e-17,2.7755575615628914e-11
uniform_h=1.00,20,3,2,10,1e-05,2.7755575615628914e-17,2.775557561562891e-12
uniform_h=1.00,20,3,2,10,0.0001,8.326672684688674e-17,8.326672684688672e-13
uniform_h=1.00,20,3,2,10,0.001,0.0,0.0
uniform_h=1.00,20,3,4,10,1e-06,6.219210855799282e-17,6.219210855799282e-11
uniform_h=1.00,20,3,4,10,1e-05,2.5486272460864326e-16,2.5486272460864328e-11
uniform_h=1.00,20,3,4,10,0.0001,2.524701589759442e-18,2.5247015897594423e-14
uniform_h=1.00,20,3,4,10,0.001,0.0,0.0
uniform_h=1.00,20,3,6,10,1e-06,3.625240045095802e-16,3.6252400450958024e-10
uniform_h=1.00,20,3,6,10,1e-05,2.0688990285207674e-15,2.068899028520767e-10
uniform_h=1.00,20,3,6,10,0.0001,6.338082322064933e-16,6.338082322064933e-12
uniform_h=1.00,20,3,6,10,0.001,3.9026266464340797e-16,3.9026266464340795e-13
uniform_h=1.00,20,3,8,10,1e-06,8.496656637231206e-15,8.496656637231207e-09
uniform_h=1.00,20,3,8,10,1e-05,6.132810817445973e-15,6.132810817445973e-10
uniform_h=1.00,20,3,8,10,0.0001,1.003445692758452e-15,1.0034456927584522e-11
uniform_h=1.00,20,3,8,10,0.001,5.032353870580646e-15,5.032353870580646e-12
uniform_h=1.00,20,3,10,10,1e-06,6.355384444035298e-15,6.355384444035299e-09
uniform_h=1.00,20,3,10,10,1e-05,1.0175362097255202e-15,1.01753620972552e-10
uniform_h=1.00,20,3,10,10,0.0001,0.0,0.0
uniform_h=1.00,20,3,10,10,0.001,3.889402287543401e-15,3.889402287543401e-12
uniform_h=1.00,20,3,12,10,1e-06,9.595361668221529e-15,9.595361668221528e-09
uniform_h=1.00,20,3,12,10,1e-05,1.0237035543863083e-14,1.023703554386308e-09
uniform_h=1.00,20,3,12,10,0.0001,1.343697869311759e-15,1.3436978693117589e-11
uniform_h=1.00,20,3,12,10,0.001,3.2217936930426373e-15,3.221793693042637e-12
uniform_h=1.00,20,4,2,10,1e-06,0.0,0.0
uniform_h=1.00,20,4,2,10,1e-05,0.0,0.0
uniform_h=1.00,20,4,2,10,0.0001,0.0,0.0
uniform_h=1.00,20,4,2,10,0.001,0.0,0.0
uniform_h=1.00,20,4,4,10,1e-06,6.949727468511708e-17,6.949727468511708e-11
