experiment_name,regime,M,trial,k,raw_to_ref_l2,ref_to_ideal_l2,gap_ratio
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,7,8,6.886314340747027e-14,0.7720786607654424,772078660765.4424
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,7,10,9.241428964657864e-14,0.3916175009477779,391617500947.77795
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,7,12,9.268006715771824e-14,0.2050546666427402,205054666642.7402
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,8,2,1.9549094446792674e-15,7.011039498426224,7011039498426.225
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,8,4,1.780894092643409e-14,4.258669307701899,4258669307701.899
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,8,6,6.294069924666285e-14,2.5959244756672013,2595924475667.201
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,8,8,7.476326160637077e-14,1.4763751606457627,1476375160645.7627
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,8,10,9.919726812700802e-14,0.7910914120883444,791091412088.3445
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,8,12,1.3994510415296507e-13,0.4174189256749736,417418925674.9736
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,9,2,9.242361835910406e-15,16.733788460991118,16733788460991.12
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,9,4,1.3029975984631985e-13,6.852073347250339,6852073347250.339
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,9,6,7.68818548614694e-14,2.414900614150783,2414900614150.783
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,9,8,1.4982112577789786e-13,1.0150552484346973,1015055248434.6973
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,9,10,1.5713225077143265e-13,0.531144257075449,531144257075.449
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,9,12,2.2371810300022853e-13,0.2973021366926641,297302136692.6641
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,10,2,2.999048850276699e-14,17.318942932655748,17318942932655.748
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,10,4,7.748784343531672e-14,9.614382977535115,9614382977535.115
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,10,6,2.560209448202453e-13,4.798444181488708,4798444181488.709
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,10,8,1.6127080158358244e-13,2.336809363709539,2336809363709.539
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,10,10,2.9237493029108387e-13,1.1328716024203893,1132871602420.3894
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,10,12,1.3122206383388016e-13,0.5729843849852311,572984384985.2311
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,11,2,5.8324773085202454e-15,8.990819749369496,8990819749369.496
exp4_raw_vs_reference_sanity,uniform_h=1.00,20,11,4,3.794490134081731e-14,4.278088340845167,4278088340845.1665
