experiment_name,regime,M,k,radius_mode,interior_count,interior_fraction,is_empty_interior,interior_matching_l2,full_matching_l2
exp5_empty_interior_risk,uniform_h=1.00,40,10,three_half_k,10,0.25,False,0.2773062223315177,0.8144604216534346
exp5_empty_interior_risk,uniform_h=1.00,40,12,three_half_k,4,0.1,False,0.07909788524282721,0.430116850918611
exp5_empty_interior_risk,uniform_h=1.00,80,2,half_k,78,0.975,False,39.66593013204856,40.91523163787788
exp5_empty_interior_risk,uniform_h=1.00,80,4,half_k,76,0.95,False,11.495084924963828,12.059080896999188
exp5_empty_interior_risk,uniform_h=1.00,80,6,half_k,74,0.925,False,4.187840982059173,4.425813874322515
exp5_empty_interior_risk,uniform_h=1.00,80,8,half_k,72,0.9,False,1.796998775333252,1.9379001479839462
exp5_empty_interior_risk,uniform_h=1.00,80,10,half_k,70,0.875,False,0.8751066297223125,0.9434440937404722
exp5_empty_interior_risk,uniform_h=1.00,80,12,half_k,68,0.85,False,0.45019738162326595,0.4851528330154717
exp5_empty_interior_risk,uniform_h=1.00,80,2,k,76,0.95,False,39.31351162417249,40.91523163787788
exp5_empty_interior_risk,uniform_h=1.00,80,4,k,72,0.9,False,11.161087212741975,12.059080896999188
exp5_empty_interior_risk,uniform_h=1.00,80,6,k,68,0.85,False,3.9031775327816294,4.425813874322515
exp5_empty_interior_risk,uniform_h=1.00,80,8,k,64,0.8,False,1.634505370992577,1.9379001479839462
exp5_empty_interior_risk,uniform_h=1.00,80,10,k,60,0.75,False,0.7981624671625479,0.9434440937404722
exp5_empty_interior_risk,uniform_h=1.00,80,12,k,56,0.7,False,0.41472717514870905,0.4851528330154717
exp5_empty_interior_risk,uniform_h=1.00,80,2,three_half_k,74,0.925,False,38.83781309909306,40.91523163787788
exp5_empty_interior_risk,uniform_h=1.00,80,4,three_half_k,68,0.85,False,10.9432089844354,12.059080896999188
exp5_empty_interior_risk,uniform_h=1.00,80,6,three_half_k,62,0.775,False,3.715575994130012,4.425813874322515
exp5_empty_interior_risk,uniform_h=1.00,80,8,three_half_k,56,0.7,False,1.5822654533943663,1.9379001479839462
exp5_empty_interior_risk,uniform_h=1.00,80,10,three_half_k,50,0.625,False,0.7375794909918482,0.9434440937404722
exp5_empty_interior_risk,uniform_h=1.00,80,12,three_half_k,44,0.55,False,0.3555790558989552,0.4851528330154717
exp5_empty_interior_risk,uniform_h=1.00,120,2,half_k,118,0.9833333333333333,False,19.91323310713381,20.10290710078086
exp5_empty_interior_risk,uniform_h=1.00,120,4,half_k,116,0.9666666666666667,False,8.542759817755703,8.659614783484672
exp5_empty_interior_risk,uniform_h=1.00,120,6,half_k,114,0.95,False,4.534869383843925,4.598072392213676
exp5_empty_interior_risk,uniform_h=1.00,120,8,half_k,112,0.9333333333333333,False,2.4512067374598314,2.5019697427780923
exp5_empty_interior_risk,uniform_h=1.00,120,10,half_k,110,0.9166666666666666,False,1.2962508635272618,1.3396572875553865
exp5_empty_interior_risk,uniform_h=1.00,120,12,half_k,108,0.9,False,0.676510402286579,0.7051647828822663
exp5_empty_interior_risk,uniform_h=1.00,120,2,k,116,0.9666666666666667,False,19.79150446016805,20.10290710078086
exp5_empty_interior_risk,uniform_h=1.00,120,4,k,112,0.9333333333333333,False,8.478036131103305,8.659614783484672
exp5_empty_interior_risk,uniform_h=1.00,120,6,k,108,0.9,False,4.486682823099368,4.598072392213676
exp5_empty_interior_risk,uniform_h=1.00,120,8,k,104,0.8666666666666667,False,2.3957154543917474,2.5019697427780923
exp5_empty_interior_risk,uniform_h=1.00,120,10,k,100,0.8333333333333334,False,1.228835215056116,1.3396572875553865
exp5_empty_interior_risk,uniform_h=1.00,120,12,k,96,0.8,False,0.6253067580669537,0.7051647828822663
exp5_empty_interior_risk,uniform_h=1.00,120,2,three_half_k,114,0.95,False,19.676763340643884,20.10290710078086
exp5_empty_interior_risk,uniform_h=1.00,120,4,three_half_k,108,0.9,False,8.372221431386729,8.659614783484672
exp5_empty_interior_risk,uniform_h=1.00,120,6,three_half_k,102,0.85,False,4.330052553564845,4.598072392213676
exp5_empty_interior_risk,uniform_h=1.00,120,8,three_half_k,96,0.8,False,2.255303796321703,2.5019697427780923
exp5_empty_interior_risk,uniform_h=1.00,120,10,three_half_k,90,0.75,False,1.1579458828151865,1.3396572875553865
exp5_empty_interior_risk,uniform_h=1.00,120,12,three_half_k,84,0.7,False,0.5696280278800357,0.7051647828822663
