regime,trial,curve,slope,r2,final_coef_error,final_match_error,final_cost_rel
uniform_h=0.5,0,ideal,-1.1610086484640376,0.7058341213405168,2.005954161913048e-11,nan,-3.8746783559417963e-14
uniform_h=0.5,0,B,-0.12271371415196063,0.8971769279014845,608.884452532632,608.8844525326324,0.32764059840190507
uniform_h=0.5,0,C,-0.3387466745455994,0.992507972193363,0.41235704925505035,0.41235704924182687,-0.002398185268170927
uniform_h=0.5,1,ideal,-1.137884051922255,0.7136887610821822,3.67571655734543e-11,nan,-2.786659791809143e-14
uniform_h=0.5,1,B,-0.11907381460566183,0.9888711195665056,661.0536167875905,661.0536167875882,0.5918879763777356
uniform_h=0.5,1,C,-0.3023936632081365,0.9823763967025024,0.5042519783355239,0.5042519783568347,-0.003414919646220982
uniform_h=0.5,2,ideal,-1.1298806929628804,0.6910786020342625,5.446362986790339e-11,nan,1.270095140171179e-13
uniform_h=0.5,2,B,-0.13125554996079844,0.9064757040531641,486.6904086547543,486.6904086547501,0.08848412352992274
uniform_h=0.5,2,C,-0.3520628722850558,0.9742115075075133,0.45810781477947776,0.45810781481536833,0.0001137360748391103
uniform_h=0.5,3,ideal,-1.1418700017571382,0.681944341118288,1.1873019391630208e-11,nan,1.7763568394002505e-15
uniform_h=0.5,3,B,-0.12553000384578947,0.9495777230451837,421.3143997504213,421.31439975042264,0.17307231619967034
uniform_h=0.5,3,C,-0.3127126447720241,0.9983131630783321,0.37869340075220387,0.37869340075464164,-0.0015457444658470987
uniform_h=1.0,0,ideal,-1.1994394505132915,0.7126324621978101,5.513870904988015e-13,nan,-2.120525977034049e-14
uniform_h=1.0,0,B,-0.13634218586232458,0.8632320494816986,4.601088255344259,4.601088255344272,0.06946894305181406
uniform_h=1.0,0,C,-0.33789623843890126,0.9918774865763442,0.007675473270415297,0.007675473270162655,0.00011409511418114526
uniform_h=1.0,1,ideal,-1.1575380050526458,0.6974526365347116,1.0673529722060818e-12,nan,5.573319583618286e-14
uniform_h=1.0,1,B,-0.12093058918933147,0.9826765866472446,24.220631065410686,24.22063106541071,0.3207278258010702
uniform_h=1.0,1,C,-0.31872355806056,0.9999071516324188,0.03944808519167082,0.03944808519186427,-0.001834265584514383
uniform_h=1.0,2,ideal,-1.1689924375361025,0.6942092925226057,3.925380604173061e-13,nan,2.531308496145357e-14
uniform_h=1.0,2,B,-0.11831017253114866,0.9916810051235455,10.0220984818208,10.022098481820791,0.43984929736417944
uniform_h=1.0,2,C,-0.3161692536110083,0.998332788882208,0.01376734407473588,0.013767344074819308,-0.0037975409957710093
uniform_h=1.0,3,ideal,-1.1833796965793664,0.689817879312641,7.261425157132689e-13,nan,3.574918139293004e-14
uniform_h=1.0,3,B,-0.13335914455015804,0.8403779095175944,11.930269081782523,11.930269081782487,0.12823375731467257
uniform_h=1.0,3,C,-0.3543605233041726,0.9957106252020615,0.018424526990269766,0.018424526990352647,0.0005601779645711957
uniform_h=2.0,0,ideal,-1.2530373657652347,0.6711541859503669,1.604413935703711e-14,nan,1.0658141036401503e-14
uniform_h=2.0,0,B,-0.12975531716051605,0.9688514909423788,0.24389780823229915,0.2438978082322992,0.12032687958011201
uniform_h=2.0,0,C,-0.3427385630498979,0.9973310656164518,0.0018022947875286207,0.0018022947875314655,0.0004878144917239702
uniform_h=2.0,1,ideal,-1.276743341567069,0.65925356344594,3.4883259219343015e-15,nan,-1.3322676295501878e-15
uniform_h=2.0,1,B,-0.12069245875237553,0.9829345862582587,0.3748366498956141,0.3748366498956141,0.2851781905666455
uniform_h=2.0,1,C,-0.3313949010140401,0.9959293029809162,0.002710038501237306,0.0027100385012377225,0.00045029736908719364
uniform_h=2.0,2,ideal,-1.3071807944193181,0.6843176537957136,5.728409872420798e-15,nan,2.886579864025407e-15
uniform_h=2.0,2,B,-0.12513802060294765,0.8948200842816599,0.44858425845794014,0.44858425845793976,0.26506115600067903
uniform_h=2.0,2,C,-0.3339227440009339,0.9977176592689543,0.0038051925153943303,0.003805192515392707,-0.000636891975679732
uniform_h=2.0,3,ideal,-1.2658441453368625,0.6862472471218013,1.1661834939138616e-14,nan,1.7319479184152442e-14
uniform_h=2.0,3,B,-0.11440813009231315,0.9919390173129125,0.3662519287735336,0.36625192877353424,0.4625592970147796
uniform_h=2.0,3,C,-0.3116734565922509,0.9964416867031395,0.002923714459394126,0.0029237144593929685,-0.002700389770289857
bounded_0.9_1.1,0,ideal,-1.1833165402369412,0.7347850000149507,1.901280571406954e-12,nan,-8.115730310009894e-14
bounded_0.9_1.1,0,B,-0.1267593512801393,0.9584644500391494,20.905858252796403,20.905858252796445,0.3970246374831172
bounded_0.9_1.1,0,C,-0.33082589713086946,0.9954855423455596,0.025067285339641917,0.02506728534040122,0.0029497528573039222
