ablation_name,method,M,k,final_objective,runtime_total,objective_gap
drop_lambda_obs,raw_schemeC,6,2,18.570125409906662,2.179489138070494,4.013853964713072
drop_lambda_dyn,raw_schemeC,6,2,17.80885698057443,2.1813165596686304,3.808314764068681
drop_lambda_T,raw_schemeC,6,2,15.852112301174717,2.1445145150646567,3.280002119313701
drop_lambda_reg,raw_schemeC,6,2,3.7037627223690737,2.1134176910854876,0.0
