case_name,M,tol,max_effective_bandwidth,mean_effective_bandwidth,far_nonzero_ratio,fro_error,max_abs_error,relative_error
uniform_time,4,1e-10,3,2.3333333333333335,1.0,3.7235118252362033e-07,1.8186157735300412e-07,1.9254070613621197e-08
uniform_time,8,1e-10,7,5.285714285714286,1.0,1.1794703841772456e-07,3.09126098052559e-08,6.04075768968253e-09
uniform_time,16,1e-10,15,11.266666666666667,1.0,7.35778369361026e-08,1.5987284968099758e-08,3.347853888907687e-09
uniform_time,32,1e-10,31,23.258064516129032,1.0,7.366146648346787e-08,1.1546319456142286e-08,2.810124381954938e-09
