step,objective,ctrl,time,obs,grad_norm,step_used,accepted,T_min
0,2696.3349503701593,2688.91534159115,0.3025,7.117108779009271,nan,0.0,True,0.85
1,2566.2926423623617,2560.627294857305,0.3450887600548191,5.320258745001705,12433.268120295577,0.0003125,True,0.9775
2,1376.721920374066,1365.565342053448,0.3851647727247607,10.771413547893381,13421.122279774232,0.000625,True,1.124125
3,241.03029634154757,229.36015162466683,0.4142034559381551,11.255941260942599,6190.592866305391,0.00125,True,1.2146254891411112
4,206.9180135076703,197.7978119011937,0.44480310275416635,8.675398503722407,1024.3682940489543,0.005,True,1.2173214045757106
5,18.4156135658731,1.1889539686666006,0.4837238677332941,16.742935729473206,696.9056876368647,0.005,True,1.2214692513922054
6,16.741744926369186,2.8989040982219825,0.4850447532243687,13.357796074922836,29.363410007487158,0.005,True,1.233922854265732
7,14.119570437959915,0.22664156321723689,0.4867454149445042,13.406183459798173,53.979856758881155,0.0025,True,1.2371537976663851
8,12.541013090157954,2.126500983007918,0.48680492835927813,9.927707178790758,46.68520005682088,0.0025,True,1.2389232631660876
9,12.002422891120808,0.47679248941944524,0.48798734026339763,11.037643061437965,33.56455842150691,0.0025,True,1.2395375141353457
10,11.597775070408208,1.5514202154555998,0.4881594204717935,9.558195434480814,26.063550352553804,0.0025,True,1.2401892989283645
11,11.344523945261656,0.6891865703623197,0.48895227710328176,10.166385097796054,19.229303271386993,0.0025,True,1.2393369705345614
12,11.16266556595933,1.2118013043348004,0.4892295733561823,9.461634688268347,14.125260623315198,0.0025,True,1.239159467882718
13,11.034768602618952,0.8589824188697235,0.4898034651546942,9.685982718594534,10.325038330361481,0.0025,True,1.2379677361613906
14,10.947196605167848,1.3757741530337186,0.4905358021186853,9.080886650015444,7.894586306734886,0.005,True,1.2367596625074284
15,10.81230297248247,0.8825282438206818,0.4911917830274415,9.438582945634346,12.48240233782097,0.0025,True,1.2353210801400643
16,10.801775759641075,1.4737305204704196,0.4919402171089896,8.836105022061664,8.15169518564705,0.005,True,1.234646195530711
17,10.643141490674378,0.907309985612704,0.4926421050679838,9.243189399993689,13.972593917266765,0.0025,True,1.233015881362823
18,10.566747352834517,1.125056686820432,0.49302686563183884,8.948663800382246,7.93180477306688,0.0025,True,1.2328517519215292
19,10.49997047718356,0.9375670834901602,0.4940260338330146,9.068377359860385,5.27093585324748,0.005,True,1.2306048024500373
20,10.486382236307513,1.3849717293829849,0.49482244477495974,8.606588062149568,7.060663088319858,0.005,True,1.2303404311088504
21,10.366000079402047,0.9794609846401349,0.495457409045716,8.891081685716197,11.057908591822782,0.0025,True,1.2286647193809248
22,10.320510236028031,1.2485464781703715,0.49629076486201545,8.575672992995644,5.416767033012305,0.005,True,1.2280836810697409
23,10.316806414118371,0.9067131810179704,0.49739919510378083,8.91269403799662,7.429444709727778,0.005,True,1.225232052172571
24,10.18937237557843,1.1373317191220675,0.49778358047354443,8.554257075982818,10.88706064198901,0.0025,True,1.2261019044864452
25,10.137931695036569,0.9781370186404448,0.49876533682777136,8.661029339568353,4.523308572228116,0.005,True,1.2239653740899146
