step,objective,ctrl,time,obs,grad_norm,step_used,accepted,T_min
0,2701.3711970301006,2688.91534159115,12.1,0.35585543895046357,nan,0.0,True,0.85
1,205.7659383994976,0.0022926417470067475,205.64281759847003,0.12082815928055823,12433.724400827256,0.005,True,3.176380597787033
2,205.6372513797736,0.0023057128393926146,205.51980643976725,0.11513922716695313,5.074965089691263,0.005,True,3.1658120054994527
3,205.50891752796775,0.0023188668211551982,205.3968858621319,0.1097127990146797,5.067963190482776,0.005,True,3.1552525886543785
4,205.3809289992474,0.0023321043630492237,205.2740554953308,0.10454139955353382,5.061105276678935,0.005,True,3.144702337331452
5,205.25327779870895,0.0023454261498870215,205.15131487171314,0.09961750084590837,5.054396114141291,0.005,True,3.134161240446173
6,205.12595594444412,0.002358832878170976,205.028663480597,0.09493363096894311,5.047836423527662,0.005,True,3.1236292857308965
7,204.99895551878316,0.0023723252555752994,204.90610078545876,0.09048240806883126,5.041425624434352,0.005,True,3.1131064596989595
8,204.8722686801901,0.0023859040010909046,204.7836262280584,0.08625654813058334,5.035162773675919,0.005,True,3.1025927475970585
9,204.74588765859332,0.0023995698454716873,204.6612392268452,0.08224886190265347,5.029046951486913,0.005,True,3.092088133348433
10,204.6198047426429,0.0024133235318576193,204.53893917227714,0.07845224683389554,5.023077447019138,0.005,True,3.081592599488485
