order,max_abs,mean_abs,median_abs,rms,q95_abs,is_zero_tol
0,1.6631140908884845e-13,1.1561585022690224e-13,1.186550857568136e-13,1.222849334501627e-13,1.6161516569468402e-13,true
1,2.7711166694643907e-13,1.1930734178378088e-13,9.35918009759007e-14,1.636151632133683e-13,2.614908289899631e-13,true
2,1.963762485956977e-12,1.1532302890415735e-12,1.1740330929654874e-12,1.2988879114240466e-12,1.867730969884462e-12,true
3,2.5508484213787597e-12,1.5449863610683678e-12,1.8118839761882555e-12,1.8140824078897356e-12,2.4719781777093884e-12,true
4,2234.4192988840955,1429.417016919348,1420.2681439842047,1595.5830618328005,2203.7541418703086,false
5,47374.97353008155,26549.759820956402,26606.877387964072,32811.67076337822,46889.484993707905,false
6,198297.91851280825,108971.73208780603,108904.16289430912,134768.01776690717,195071.24867591364,false
