step,objective,ctrl,time,obs,grad_norm,step_used,accepted,T_min
0,2689.5736970301004,2688.91534159115,0.3025,0.35585543895046357,nan,0.0,True,0.85
1,2567.4913630594237,2566.8808953445887,0.34508165811808456,0.2653860567172596,12436.760309244146,0.0003125,True,0.9775
2,1371.509550565533,1370.5910049269394,0.38512498378047016,0.5334206548130621,13452.619740760629,0.000625,True,1.124125
3,231.30882272274283,230.3109895761397,0.4142022011733102,0.5836309454298196,6212.191024083359,0.00125,True,1.214107124310331
4,200.53132175717894,199.50893656587783,0.44419960465424685,0.5781855866468695,1030.0758552564114,0.005,True,1.2147064621316572
5,1.8016474485263472,0.3879482435507647,0.48138552287641434,0.9323136820991682,706.6059605859178,0.005,True,1.2156316387528738
6,1.7327114465619742,0.3509159136361673,0.4815590098094175,0.9002365231163892,10.052153635127253,0.0025,True,1.2158392289150397
7,1.6743840393992424,0.27172356706544837,0.4817181158421022,0.9209423564916918,8.724556399961003,0.0025,True,1.21645444763233
8,1.613533039517575,0.25191853099143807,0.4818327002065895,0.8797818083195474,8.414836489951126,0.0025,True,1.216587914172922
9,1.5615238315703923,0.19680804623587694,0.4819400235889136,0.8827757617456019,7.8392108799092775,0.0025,True,1.2170093475505417
10,1.524782617695035,0.1965935937243834,0.4820161013483853,0.8461729226222663,7.001280725414099,0.0025,True,1.2170842417783811
11,1.4993398482070392,0.16325442944040303,0.4820941517943458,0.8539912669722903,6.242192340023184,0.0025,True,1.2174432481474018
12,1.4808848334330875,0.17155606603594165,0.48215167338012793,0.827177094017018,5.5806366260354,0.0025,True,1.2174766190158848
13,1.4675105957762695,0.1484951122281369,0.48221507705255195,0.8368004064955805,4.994494867618002,0.0025,True,1.2177803253240607
14,1.4570163931872133,0.1578595115221853,0.4822633358377679,0.8168935458272601,4.460781801452221,0.0025,True,1.2177854232772836
15,1.448889789146748,0.14054407575681108,0.48231776986462055,0.8260279435253164,3.971992410710327,0.0025,True,1.2180367537029018
16,1.4398882819698833,0.14469076254239976,0.4823602758987273,0.8128372435287562,3.309929927824425,0.0025,True,1.2180040305556477
17,1.433339039697567,0.13401661239240395,0.48240562454933206,0.8169168027558309,2.565364431966744,0.0025,True,1.218175388813929
18,1.420279728197123,0.13080336316360508,0.4824805489325935,0.8069958161009242,1.9945987576601145,0.005,True,1.2180163955356473
19,1.4193002309244886,0.14446422904446243,0.482550659758098,0.7922853421219282,2.854452360666435,0.005,True,1.2180287820919458
20,1.3977041003685162,0.11864429056941418,0.4825931838604935,0.7964666259386086,4.931941099786329,0.0025,True,1.217760947710016
21,1.3916400375491833,0.13050095000000503,0.48264668889831414,0.7784923986508642,2.6081871072660765,0.005,True,1.2177188615585044
22,1.3771497620126858,0.10761436333355145,0.48267961965188083,0.7868557790272535,4.429596505636257,0.0025,True,1.2173990742133078
23,1.366552155516898,0.10987089710699746,0.4826988707958766,0.773982387614024,3.2765151785612225,0.0025,True,1.2173237432590425
24,1.362947880401554,0.10328667313593112,0.4827382806372347,0.7769229266283882,2.5159742843607193,0.005,True,1.2167281098112055
25,1.349763521559814,0.10882610500240524,0.4827550672219567,0.7581823493354521,4.590955774807069,0.0025,True,1.216746178586561
